cds	gene
cds205	gene192
cds205	gene192
cds205	gene192
cds205	gene192
cds205	gene192
cds205	gene192
cds205	gene192
cds205	gene192
cds205	gene192
cds205	gene192
cds205	gene192
cds205	gene192
cds205	gene192
cds205	gene192
cds205	gene192
cds205	gene192
cds206	gene192
cds206	gene192
cds206	gene192
cds206	gene192
cds206	gene192
cds206	gene192
cds206	gene192
cds206	gene192
cds206	gene192
cds206	gene192
cds206	gene192
cds206	gene192
cds206	gene192
cds206	gene192
cds206	gene192
cds206	gene192
cds206	gene192
cds206	gene192
cds206	gene192
cds206	gene192
cds206	gene192
cds206	gene192
cds206	gene192
cds206	gene192
cds206	gene192
cds206	gene192
cds206	gene192
cds206	gene192
cds206	gene192
cds207	gene193
cds208	gene194
cds208	gene194
cds209	gene195
cds209	gene195
cds209	gene195
cds210	gene195
cds210	gene195
cds210	gene195
cds211	gene198
cds211	gene198
cds211	gene198
cds211	gene198
cds211	gene198
cds211	gene198
cds211	gene198
cds211	gene198
cds212	gene199
cds212	gene199
cds212	gene199
cds212	gene199
cds212	gene199
cds212	gene199
cds212	gene199
cds212	gene199
cds212	gene199
cds213	gene200
cds213	gene200
cds213	gene200
cds214	gene201
cds214	gene201
cds214	gene201
cds214	gene201
cds214	gene201
cds214	gene201
cds214	gene201
cds214	gene201
cds214	gene201
cds214	gene201
cds214	gene201
cds214	gene201
cds214	gene201
cds214	gene201
cds214	gene201
cds214	gene201
cds214	gene201
cds214	gene201
cds214	gene201
cds214	gene201
cds214	gene201
cds214	gene201
cds214	gene201
cds214	gene201
cds215	gene202
cds216	gene203
cds216	gene203
cds216	gene203
cds217	gene204
cds218	gene205
cds218	gene205
cds219	gene206
cds220	gene206
cds221	gene206
cds222	gene206
cds223	gene206
cds224	gene206
cds225	gene206
cds226	gene207
cds227	gene207
cds228	gene207
cds229	gene207
cds230	gene207
cds231	gene207
cds232	gene207
cds233	gene207
cds234	gene207
cds235	gene207
cds236	gene207
cds237	gene207
cds238	gene208
cds239	gene208
cds240	gene208
cds241	gene208
cds242	gene209
cds243	gene209
cds244	gene210
cds244	gene210
cds244	gene210
cds244	gene210
cds244	gene210
cds244	gene210
cds244	gene210
cds245	gene211
cds245	gene211
cds245	gene211
cds245	gene211
cds245	gene211
cds245	gene211
cds245	gene211
cds245	gene211
cds245	gene211
cds245	gene211
cds245	gene211
cds245	gene211
cds245	gene211
cds245	gene211
cds245	gene211
cds245	gene211
cds245	gene211
cds245	gene211
cds245	gene211
cds245	gene211
cds245	gene211
cds246	gene211
cds246	gene211
cds246	gene211
cds246	gene211
cds246	gene211
cds246	gene211
cds246	gene211
cds246	gene211
cds246	gene211
cds246	gene211
cds246	gene211
cds246	gene211
cds246	gene211
cds246	gene211
cds246	gene211
cds246	gene211
cds246	gene211
cds246	gene211
cds246	gene211
cds246	gene211
cds246	gene211
cds247	gene212
cds247	gene212
cds247	gene212
cds247	gene212
cds247	gene212
cds247	gene212
cds247	gene212
cds247	gene212
cds248	gene213
cds248	gene213
cds248	gene213
cds248	gene213
cds248	gene213
cds248	gene213
cds248	gene213
cds248	gene213
cds248	gene213
cds248	gene213
cds248	gene213
cds249	gene214
cds249	gene214
cds249	gene214
cds249	gene214
cds249	gene214
cds249	gene214
cds249	gene214
cds249	gene214
cds249	gene214
cds249	gene214
cds249	gene214
cds249	gene214
cds250	gene215
cds250	gene215
cds250	gene215
cds250	gene215
cds250	gene215
cds250	gene215
cds250	gene215
cds250	gene215
cds250	gene215
cds250	gene215
cds250	gene215
cds251	gene216
cds251	gene216
cds251	gene216
cds251	gene216
cds251	gene216
cds252	gene217
cds252	gene217
cds252	gene217
cds252	gene217
cds252	gene217
cds252	gene217
cds252	gene217
cds252	gene217
cds252	gene217
cds252	gene217
cds252	gene217
cds252	gene217
cds252	gene217
cds252	gene217
cds253	gene218
cds253	gene218
cds253	gene218
cds253	gene218
cds253	gene218
cds253	gene218
cds253	gene218
cds253	gene218
cds253	gene218
cds253	gene218
cds254	gene219
cds254	gene219
cds254	gene219
cds254	gene219
cds254	gene219
cds254	gene219
cds254	gene219
cds254	gene219
cds254	gene219
cds254	gene219
cds254	gene219
cds254	gene219
cds254	gene219
cds254	gene219
cds254	gene219
cds254	gene219
cds255	gene220
cds255	gene220
cds255	gene220
cds255	gene220
cds255	gene220
cds255	gene220
cds255	gene220
cds255	gene220
cds255	gene220
cds255	gene220
cds255	gene220
cds255	gene220
cds255	gene220
cds255	gene220
cds255	gene220
cds255	gene220
cds255	gene220
cds255	gene220
cds255	gene220
cds255	gene220
cds255	gene220
cds255	gene220
cds255	gene220
cds255	gene220
cds255	gene220
cds255	gene220
cds255	gene220
cds255	gene220
cds255	gene220
cds255	gene220
cds255	gene220
cds255	gene220
cds255	gene220
cds255	gene220
cds255	gene220
cds255	gene220
cds255	gene220
cds255	gene220
cds255	gene220
cds255	gene220
cds255	gene220
cds255	gene220
cds255	gene220
cds255	gene220
cds255	gene220
cds255	gene220
cds256	gene221
cds257	gene222
cds258	gene223
cds258	gene223
cds258	gene223
cds258	gene223
cds258	gene223
cds258	gene223
cds258	gene223
